TS权限对照,120积分（免费）,2000积分,3000积分,5000积分,6000积分,8000积分,10000积分,15000积分
积分接口（包年）,50次/分钟,200次/分钟,200次/分钟,500次/分钟,500次/分钟,500次/分钟,500次/分钟,500次/分钟
"说明：积分是权限门槛，只要达到接口积分要求就自动具备权限，积分一年有效期，中间不消耗，到期回收。

本列表只是一个大类明细，具体可以参考官网每个 数据接口文档的门槛说明，达到积分门槛即自动具备权限。","股票日线
- pro.daily()","- 基础数据（股票列表）
- 低频行情（日、周、月）
- 财务数据（三大报表，80次/分钟）
- 宏观经济","- 基础数据（股票列表）
- 低频行情（日、周、月）
- 财务数据（三大报表，80次/分钟
- 宏观经济
- ST股票列表
- 沪港通股票列表","- 基础数据（股票列表）
-A股/基金/期货/期权基础信息
-港股/美股/外汇基础信息
- 低频行情（日、周、月）
- 财务数据（三大报表）
- 宏观经济
- ST股票列表
- 沪港通股票列表
- 参考数据
质押、解禁、回购、增减持
龙虎榜
融资融券
","- 基础数据（股票列表）
-A股/基金/期货/期权基础信息
-港股/美股/外汇基础信息
- 低频行情（日、周、月）
- 财务数据（三大报表）
- 宏观经济
- ST股票列表
- 沪港通股票列表
- 参考数据
质押、解禁、回购、增减持
龙虎榜
融资融券
- 特色数据
概念板块和成分
资金流向
券商金股","- 基础数据（股票列表）
- ETF列表和日线
- 期权列表
- 低频行情（日、周、月）
- 财务数据
- 宏观经济
- ST股票列表
- 沪港通股票列表
- 参考数据
质押、解禁、回购、增减持
龙虎榜
融资融券
- 特色数据
概念板块和成分
资金流向
券商金股
筹码分布
龙虎榜
量化因子
","- 基础数据（股票列表）
- ETF列表
- 期权列表
- 低频行情（日、周、月）
- 财务数据
- 宏观经济
- ST股票列表
- 沪港通股票列表
- 参考数据
质押、解禁、回购、增减持
龙虎榜
融资融券
- 特色数据
概念板块和成分
资金流向
券商金股
筹码分布
龙虎榜
量化因子
盈利预测
机构调研","- 基础数据（股票列表）
- ETF列表
- 期权列表
- 低频行情（日、周、月）
- 财务数据
- 宏观经济
- ST股票列表
- 沪港通股票列表
- 参考数据
质押、解禁、回购、增减持
龙虎榜
融资融券
- 特色数据（所有打板专题数据）
概念板块和成分
资金流向
券商金股
筹码分布
龙虎榜
量化因子
盈利预测
机构调研
游资数据
涨停榜单
个股及行业热板"
